filename,difficulty,mode,num_clean,num_noise,num_bg,clean_files,noise_files,bg_files,clean_weights,noise_weights_or_snr_db,bg_weights_or_snr_db,duration_sec
20.wav,normal,ratio,1,1,0,Clean clip4.wav,grenade.wav,,0.829,0.369,,18.887
21.wav,normal,snr,1,2,1,Clean clip1.wav,ar.wav;m16.wav,static.wav,,2.19;2.19,3.83,35.944
22.wav,normal,snr,1,1,1,Clean clip2.wav,grenade.wav,static.wav,,1.51,16.16,48.578
23.wav,normal,ratio,1,2,0,Clean clip1.wav,ar.wav;m16.wav,,0.846,0.285;0.36,,35.944
24.wav,normal,snr,1,1,1,Clean clip2.wav,ar.wav,static.wav,,9.1,8.46,48.578
25.wav,normal,ratio,1,0,1,Clean clip2.wav,,static.wav,0.921,,0.171,48.578
26.wav,normal,snr,1,0,2,Clean clip1.wav,,static.wav;wind.wav,,,1.14;1.14,35.944
27.wav,normal,ratio,1,0,2,Clean clip2.wav,,static.wav;wind.wav,0.982,,0.349;0.353,48.578
28.wav,normal,snr,1,1,1,Clean clip1.wav,gun.wav,static.wav,,4.77,7.92,35.944
29.wav,normal,ratio,1,1,0,Clean clip4.wav,ar.wav,,1.0,0.598,,18.887
30.wav,normal,snr,1,2,1,Clean clip2.wav,gun.wav;ar.wav,wind.wav,,7.39;7.39,3.15,48.578
31.wav,normal,snr,1,2,0,Clean clip1.wav,gun.wav;m16.wav,,,2.69;2.69,,35.944
32.wav,normal,snr,1,2,1,Clean clip1.wav,grenade.wav;m16.wav,static.wav,,4.07;4.07,12.68,35.944
33.wav,normal,snr,1,1,0,Clean clip4.wav,ar.wav,,,16.59,,18.887
34.wav,normal,ratio,1,1,2,Clean clip1.wav,grenade.wav,wind.wav;static.wav,0.912,0.424,0.189;0.481,35.944
35.wav,normal,ratio,1,1,1,Clean clip1.wav,grenade.wav,static.wav,0.97,0.518,0.451,35.944
36.wav,normal,ratio,1,2,0,Clean clip2.wav,grenade.wav;gun.wav,,0.868,0.55;0.59,,48.578
37.wav,normal,ratio,1,0,2,Clean clip1.wav,,wind.wav;static.wav,0.901,,0.407;0.237,35.944
38.wav,normal,snr,1,1,1,Clean clip1.wav,ar.wav,static.wav,,9.21,6.1,35.944
39.wav,normal,snr,1,0,2,Clean clip2.wav,,static.wav;wind.wav,,,19.34;19.34,48.578
40.wav,normal,snr,1,2,2,Clean clip3.wav,m16.wav;gun.wav,static.wav;wind.wav,,5.22;5.22,11.61;11.61,17.581
41.wav,normal,ratio,1,0,2,Clean clip1.wav,,static.wav;wind.wav,0.882,,0.329;0.285,35.944
42.wav,normal,snr,1,0,2,Clean clip3.wav,,static.wav;wind.wav,,,13.74;13.74,17.581
43.wav,normal,snr,1,1,2,Clean clip3.wav,ar.wav,wind.wav;static.wav,,2.49,18.0;18.0,17.581
44.wav,normal,ratio,1,1,2,Clean clip4.wav,m16.wav,static.wav;wind.wav,0.982,0.471,0.466;0.365,18.887
45.wav,normal,snr,1,2,1,Clean clip4.wav,ar.wav;grenade.wav,static.wav,,12.13;12.13,6.44,18.887
46.wav,normal,snr,1,2,1,Clean clip4.wav,grenade.wav;gun.wav,static.wav,,14.72;14.72,13.18,18.887
47.wav,normal,snr,1,0,1,Clean clip1.wav,,static.wav,,,9.11,35.944
48.wav,normal,ratio,1,1,0,Clean clip4.wav,m16.wav,,0.906,0.557,,18.887
49.wav,normal,ratio,1,2,1,Clean clip1.wav,grenade.wav;ar.wav,static.wav,0.859,0.424;0.327,0.414,35.944
50.wav,normal,snr,1,2,2,Clean clip4.wav,m16.wav;ar.wav,wind.wav;static.wav,,16.8;16.8,5.55;5.55,18.887
51.wav,normal,snr,1,1,0,Clean clip2.wav,m16.wav,,,4.69,,48.578
52.wav,normal,ratio,1,2,0,Clean clip3.wav,ar.wav;m16.wav,,0.908,0.483;0.226,,17.581
53.wav,normal,ratio,1,2,0,Clean clip3.wav,m16.wav;grenade.wav,,0.826,0.562;0.434,,17.581
54.wav,normal,ratio,1,1,1,Clean clip4.wav,ar.wav,static.wav,0.967,0.534,0.338,18.887
55.wav,normal,ratio,1,0,1,Clean clip4.wav,,static.wav,0.801,,0.388,18.887
56.wav,normal,snr,1,1,2,Clean clip2.wav,grenade.wav,static.wav;wind.wav,,13.26,1.68;1.68,48.578
57.wav,normal,ratio,1,1,0,Clean clip2.wav,grenade.wav,,0.798,0.382,,48.578
58.wav,normal,ratio,1,1,1,Clean clip4.wav,m16.wav,wind.wav,0.925,0.221,0.483,18.887
59.wav,normal,ratio,1,2,0,Clean clip1.wav,ar.wav;m16.wav,,0.706,0.261;0.25,,35.944
60.wav,normal,snr,1,1,1,Clean clip2.wav,gun.wav,static.wav,,14.96,2.29,48.578
61.wav,normal,snr,1,0,2,Clean clip3.wav,,static.wav;wind.wav,,,19.16;19.16,17.581
62.wav,normal,ratio,1,0,2,Clean clip2.wav,,static.wav;wind.wav,0.932,,0.448;0.36,48.578
63.wav,normal,ratio,1,1,2,Clean clip1.wav,m16.wav,static.wav;wind.wav,0.955,0.529,0.187;0.486,35.944
64.wav,normal,snr,1,1,2,Clean clip2.wav,grenade.wav,static.wav;wind.wav,,18.39,15.49;15.49,48.578
65.wav,normal,snr,1,2,0,Clean clip4.wav,gun.wav;grenade.wav,,,1.73;1.73,,18.887
66.wav,normal,snr,1,1,1,Clean clip2.wav,m16.wav,static.wav,,3.64,4.24,48.578
67.wav,normal,ratio,1,1,2,Clean clip3.wav,gun.wav,static.wav;wind.wav,0.916,0.395,0.415;0.392,17.581
68.wav,normal,ratio,1,1,1,Clean clip2.wav,grenade.wav,static.wav,0.866,0.338,0.499,48.578
69.wav,normal,ratio,1,2,1,Clean clip3.wav,m16.wav;grenade.wav,static.wav,0.758,0.248;0.414,0.417,17.581
70.wav,normal,snr,1,0,2,Clean clip2.wav,,static.wav;wind.wav,,,10.49;10.49,48.578
71.wav,normal,ratio,1,0,1,Clean clip1.wav,,static.wav,0.704,,0.337,35.944
72.wav,normal,snr,1,0,2,Clean clip1.wav,,static.wav;wind.wav,,,15.06;15.06,35.944
73.wav,normal,ratio,1,2,1,Clean clip1.wav,gun.wav;grenade.wav,static.wav,0.715,0.576;0.391,0.438,35.944
74.wav,normal,ratio,1,0,2,Clean clip4.wav,,static.wav;wind.wav,0.869,,0.256;0.498,18.887
75.wav,normal,ratio,1,2,1,Clean clip4.wav,grenade.wav;gun.wav,static.wav,0.958,0.596;0.322,0.367,18.887
76.wav,normal,snr,1,2,2,Clean clip2.wav,grenade.wav;m16.wav,static.wav;wind.wav,,3.13;3.13,8.17;8.17,48.578
77.wav,normal,snr,1,2,2,Clean clip3.wav,m16.wav;ar.wav,static.wav;wind.wav,,11.8;11.8,16.08;16.08,17.581
78.wav,normal,ratio,1,0,2,Clean clip4.wav,,static.wav;wind.wav,0.743,,0.171;0.427,18.887
79.wav,normal,snr,1,0,1,Clean clip4.wav,,static.wav,,,18.85,18.887
80.wav,normal,ratio,1,0,2,Clean clip4.wav,,static.wav;wind.wav,0.775,,0.182;0.487,18.887
81.wav,normal,ratio,1,2,1,Clean clip3.wav,ar.wav;m16.wav,static.wav,0.783,0.599;0.374,0.435,17.581
82.wav,normal,ratio,1,1,1,Clean clip4.wav,m16.wav,static.wav,0.748,0.365,0.323,18.887
83.wav,normal,ratio,1,1,1,Clean clip1.wav,ar.wav,static.wav,0.932,0.546,0.439,35.944
84.wav,normal,snr,1,1,0,Clean clip4.wav,ar.wav,,,12.45,,18.887
85.wav,normal,snr,1,1,2,Clean clip2.wav,m16.wav,static.wav;wind.wav,,15.99,14.2;14.2,48.578
86.wav,normal,snr,1,2,0,Clean clip1.wav,m16.wav;ar.wav,,,18.26;18.26,,35.944
87.wav,normal,ratio,1,2,2,Clean clip1.wav,grenade.wav;m16.wav,static.wav;wind.wav,0.845,0.389;0.383,0.201;0.217,35.944
88.wav,normal,snr,1,1,1,Clean clip1.wav,m16.wav,wind.wav,,16.41,5.66,35.944
89.wav,normal,ratio,1,0,1,Clean clip4.wav,,static.wav,0.866,,0.34,18.887
90.wav,normal,snr,1,0,2,Clean clip3.wav,,static.wav;wind.wav,,,8.22;8.22,17.581
91.wav,normal,ratio,1,2,2,Clean clip4.wav,m16.wav;grenade.wav,static.wav;wind.wav,0.989,0.25;0.586,0.266;0.185,18.887
92.wav,normal,snr,1,2,2,Clean clip1.wav,m16.wav;ar.wav,static.wav;wind.wav,,1.5;1.5,15.63;15.63,35.944
93.wav,normal,snr,1,2,0,Clean clip3.wav,m16.wav;gun.wav,,,17.05;17.05,,17.581
94.wav,normal,snr,1,2,0,Clean clip3.wav,m16.wav;gun.wav,,,4.7;4.7,,17.581
95.wav,normal,snr,1,2,0,Clean clip2.wav,ar.wav;grenade.wav,,,14.08;14.08,,48.578
96.wav,normal,ratio,1,0,2,Clean clip4.wav,,static.wav;wind.wav,0.717,,0.275;0.301,18.887
97.wav,normal,ratio,1,2,0,Clean clip4.wav,grenade.wav;ar.wav,,0.961,0.448;0.296,,18.887
98.wav,normal,ratio,1,1,1,Clean clip2.wav,gun.wav,static.wav,0.941,0.56,0.387,48.578
99.wav,normal,snr,1,1,2,Clean clip1.wav,gun.wav,static.wav;wind.wav,,9.14,6.04;6.04,35.944
100.wav,normal,snr,1,2,1,Clean clip3.wav,gun.wav;m16.wav,static.wav,,7.92;7.92,0.16,17.581
101.wav,normal,ratio,1,1,2,Clean clip4.wav,grenade.wav,wind.wav;static.wav,0.775,0.502,0.419;0.388,18.887
102.wav,normal,ratio,1,2,1,Clean clip1.wav,ar.wav;grenade.wav,static.wav,0.739,0.564;0.331,0.295,35.944
103.wav,normal,ratio,1,2,2,Clean clip2.wav,gun.wav;m16.wav,wind.wav;static.wav,0.947,0.393;0.523,0.411;0.269,48.578
104.wav,normal,snr,1,2,1,Clean clip4.wav,gun.wav;ar.wav,static.wav,,9.1;9.1,13.46,18.887
105.wav,normal,snr,1,2,2,Clean clip4.wav,gun.wav;ar.wav,static.wav;wind.wav,,11.23;11.23,18.31;18.31,18.887
106.wav,normal,ratio,1,2,1,Clean clip1.wav,m16.wav;gun.wav,static.wav,0.714,0.215;0.598,0.191,35.944
107.wav,normal,snr,1,1,1,Clean clip2.wav,m16.wav,static.wav,,18.92,8.38,48.578
108.wav,normal,ratio,1,2,2,Clean clip4.wav,ar.wav;grenade.wav,static.wav;wind.wav,0.811,0.377;0.58,0.449;0.185,18.887
109.wav,normal,snr,1,0,1,Clean clip3.wav,,static.wav,,,18.98,17.581
110.wav,normal,snr,1,2,2,Clean clip1.wav,grenade.wav;gun.wav,static.wav;wind.wav,,4.87;4.87,2.52;2.52,35.944
111.wav,normal,snr,1,2,0,Clean clip1.wav,grenade.wav;gun.wav,,,4.66;4.66,,35.944
112.wav,normal,snr,1,1,0,Clean clip1.wav,grenade.wav,,,15.97,,35.944
113.wav,normal,ratio,1,2,0,Clean clip2.wav,gun.wav;ar.wav,,0.738,0.368;0.245,,48.578
114.wav,normal,ratio,1,1,2,Clean clip4.wav,gun.wav,static.wav;wind.wav,0.885,0.491,0.468;0.381,18.887
115.wav,normal,ratio,1,2,1,Clean clip4.wav,ar.wav;m16.wav,wind.wav,0.732,0.485;0.377,0.465,18.887
116.wav,normal,ratio,1,1,1,Clean clip3.wav,gun.wav,static.wav,0.938,0.246,0.379,17.581
117.wav,normal,ratio,1,1,1,Clean clip4.wav,grenade.wav,static.wav,0.825,0.238,0.299,18.887
118.wav,normal,snr,1,0,2,Clean clip3.wav,,wind.wav;static.wav,,,1.86;1.86,17.581
119.wav,normal,snr,1,0,2,Clean clip3.wav,,static.wav;wind.wav,,,13.4;13.4,17.581
120.wav,normal,snr,1,2,0,Clean clip3.wav,m16.wav;gun.wav,,,12.01;12.01,,17.581
121.wav,normal,ratio,1,2,2,Clean clip1.wav,grenade.wav;ar.wav,static.wav;wind.wav,0.867,0.246;0.311,0.229;0.3,35.944
122.wav,normal,ratio,1,1,0,Clean clip3.wav,gun.wav,,0.743,0.463,,17.581
123.wav,normal,ratio,1,2,2,Clean clip2.wav,ar.wav;m16.wav,static.wav;wind.wav,0.747,0.325;0.33,0.479;0.359,48.578
124.wav,normal,ratio,1,0,2,Clean clip2.wav,,static.wav;wind.wav,0.827,,0.362;0.295,48.578
125.wav,normal,ratio,1,1,0,Clean clip1.wav,m16.wav,,0.904,0.395,,35.944
126.wav,normal,ratio,1,0,1,Clean clip1.wav,,wind.wav,0.761,,0.481,35.944
127.wav,normal,ratio,1,1,0,Clean clip3.wav,gun.wav,,0.924,0.27,,17.581
128.wav,normal,ratio,1,2,1,Clean clip2.wav,gun.wav;ar.wav,wind.wav,0.706,0.568;0.545,0.352,48.578
129.wav,normal,ratio,1,1,1,Clean clip4.wav,ar.wav,static.wav,0.94,0.447,0.441,18.887
130.wav,normal,ratio,1,1,0,Clean clip1.wav,ar.wav,,0.82,0.231,,35.944
131.wav,normal,ratio,1,0,1,Clean clip3.wav,,static.wav,0.89,,0.336,17.581
132.wav,normal,ratio,1,1,0,Clean clip3.wav,grenade.wav,,0.777,0.269,,17.581
133.wav,normal,snr,1,0,2,Clean clip1.wav,,static.wav;wind.wav,,,8.98;8.98,35.944
134.wav,normal,ratio,1,0,1,Clean clip3.wav,,static.wav,0.791,,0.246,17.581
135.wav,normal,ratio,1,2,1,Clean clip3.wav,ar.wav;grenade.wav,static.wav,0.95,0.231;0.546,0.449,17.581
136.wav,normal,ratio,1,2,2,Clean clip4.wav,ar.wav;grenade.wav,static.wav;wind.wav,0.745,0.225;0.241,0.465;0.27,18.887
137.wav,normal,ratio,1,2,1,Clean clip4.wav,grenade.wav;m16.wav,wind.wav,0.932,0.472;0.221,0.371,18.887
138.wav,normal,snr,1,1,2,Clean clip1.wav,ar.wav,static.wav;wind.wav,,13.13,18.13;18.13,35.944
139.wav,normal,ratio,1,0,2,Clean clip3.wav,,static.wav;wind.wav,0.897,,0.382;0.195,17.581
140.wav,normal,snr,1,2,1,Clean clip3.wav,m16.wav;gun.wav,wind.wav,,16.58;16.58,14.78,17.581
141.wav,normal,snr,1,2,1,Clean clip4.wav,gun.wav;ar.wav,static.wav,,6.83;6.83,15.32,18.887
142.wav,normal,snr,1,0,2,Clean clip3.wav,,static.wav;wind.wav,,,0.75;0.75,17.581
143.wav,normal,ratio,1,2,0,Clean clip2.wav,m16.wav;ar.wav,,0.908,0.45;0.561,,48.578
144.wav,normal,snr,1,1,2,Clean clip1.wav,gun.wav,static.wav;wind.wav,,15.05,15.68;15.68,35.944
145.wav,normal,ratio,1,1,0,Clean clip2.wav,m16.wav,,0.984,0.594,,48.578
146.wav,normal,snr,1,1,0,Clean clip3.wav,m16.wav,,,16.03,,17.581
147.wav,normal,snr,1,0,2,Clean clip3.wav,,static.wav;wind.wav,,,14.23;14.23,17.581
148.wav,normal,snr,1,2,0,Clean clip4.wav,grenade.wav;m16.wav,,,4.44;4.44,,18.887
149.wav,normal,snr,1,0,1,Clean clip3.wav,,static.wav,,,4.72,17.581
150.wav,normal,ratio,1,2,0,Clean clip1.wav,gun.wav;ar.wav,,0.975,0.389;0.532,,35.944
151.wav,extreme,ratio,1,1,0,Clean clip4.wav,ar.wav,,0.809,0.46,,18.887
152.wav,extreme,ratio,1,2,0,Clean clip1.wav,grenade.wav;m16.wav,,0.705,0.509;0.441,,35.944
153.wav,extreme,snr,1,1,2,Clean clip4.wav,grenade.wav,static.wav;wind.wav,,-2.59,0.42;0.42,18.887
154.wav,extreme,ratio,1,1,1,Clean clip3.wav,ar.wav,wind.wav,0.697,0.425,0.449,17.581
155.wav,extreme,snr,1,2,2,Clean clip1.wav,grenade.wav;gun.wav,static.wav;wind.wav,,-1.67;-1.67,-4.42;-4.42,35.944
156.wav,extreme,snr,1,2,0,Clean clip2.wav,m16.wav;gun.wav,,,-4.37;-4.37,,48.578
157.wav,extreme,snr,1,2,0,Clean clip1.wav,grenade.wav;ar.wav,,,-1.84;-1.84,,35.944
158.wav,extreme,snr,1,2,2,Clean clip4.wav,gun.wav;ar.wav,static.wav;wind.wav,,3.66;3.66,-0.68;-0.68,18.887
159.wav,extreme,ratio,1,2,1,Clean clip3.wav,m16.wav;gun.wav,wind.wav,0.843,0.449;0.45,0.485,17.581
160.wav,extreme,ratio,1,2,2,Clean clip1.wav,ar.wav;grenade.wav,wind.wav;static.wav,0.626,0.416;0.409,0.389;0.444,35.944
161.wav,extreme,snr,1,2,2,Clean clip4.wav,m16.wav;ar.wav,wind.wav;static.wav,,-2.25;-2.25,7.74;7.74,18.887
162.wav,extreme,ratio,1,2,2,Clean clip1.wav,gun.wav;m16.wav,static.wav;wind.wav,0.752,0.506;0.357,0.313;0.456,35.944
163.wav,extreme,snr,1,2,0,Clean clip3.wav,ar.wav;gun.wav,,,4.49;4.49,,17.581
164.wav,extreme,ratio,1,1,2,Clean clip4.wav,grenade.wav,static.wav;wind.wav,0.84,0.355,0.337;0.404,18.887
165.wav,extreme,ratio,1,2,2,Clean clip3.wav,m16.wav;ar.wav,static.wav;wind.wav,0.631,0.521;0.44,0.48;0.389,17.581
166.wav,extreme,ratio,1,2,2,Clean clip3.wav,ar.wav;gun.wav,static.wav;wind.wav,0.777,0.49;0.385,0.372;0.345,17.581
167.wav,extreme,ratio,1,1,0,Clean clip2.wav,m16.wav,,0.743,0.443,,48.578
168.wav,extreme,snr,1,1,1,Clean clip1.wav,gun.wav,wind.wav,,0.26,5.0,35.944
169.wav,extreme,ratio,1,2,1,Clean clip2.wav,ar.wav;grenade.wav,static.wav,0.819,0.506;0.478,0.336,48.578
170.wav,extreme,ratio,1,1,2,Clean clip4.wav,ar.wav,static.wav;wind.wav,0.777,0.419,0.488;0.479,18.887
171.wav,extreme,snr,1,1,0,Clean clip3.wav,gun.wav,,,1.14,,17.581
172.wav,extreme,ratio,1,1,2,Clean clip2.wav,grenade.wav,static.wav;wind.wav,0.831,0.358,0.473;0.316,48.578
173.wav,extreme,ratio,1,2,2,Clean clip2.wav,ar.wav;grenade.wav,static.wav;wind.wav,0.661,0.511;0.431,0.391;0.438,48.578
174.wav,extreme,ratio,1,2,0,Clean clip4.wav,m16.wav;grenade.wav,,0.636,0.522;0.414,,18.887
175.wav,extreme,ratio,1,1,2,Clean clip4.wav,gun.wav,static.wav;wind.wav,0.667,0.4,0.319;0.358,18.887
176.wav,extreme,snr,1,1,1,Clean clip4.wav,grenade.wav,wind.wav,,-3.1,-2.93,18.887
177.wav,extreme,snr,1,2,0,Clean clip4.wav,m16.wav;ar.wav,,,0.05;0.05,,18.887
178.wav,extreme,snr,1,2,1,Clean clip2.wav,ar.wav;m16.wav,static.wav,,1.54;1.54,1.12,48.578
179.wav,extreme,ratio,1,2,2,Clean clip1.wav,grenade.wav;m16.wav,static.wav;wind.wav,0.613,0.462;0.423,0.358;0.377,35.944
180.wav,extreme,ratio,1,1,0,Clean clip3.wav,grenade.wav,,0.799,0.418,,17.581
181.wav,extreme,snr,1,1,2,Clean clip2.wav,m16.wav,static.wav;wind.wav,,3.04,1.75;1.75,48.578
182.wav,extreme,snr,1,2,1,Clean clip2.wav,gun.wav;ar.wav,wind.wav,,-2.01;-2.01,-0.63,48.578
183.wav,extreme,snr,1,2,1,Clean clip3.wav,ar.wav;grenade.wav,static.wav,,0.84;0.84,5.36,17.581
184.wav,extreme,snr,1,2,0,Clean clip4.wav,grenade.wav;gun.wav,,,-3.29;-3.29,,18.887
185.wav,extreme,ratio,1,1,2,Clean clip2.wav,ar.wav,wind.wav;static.wav,0.678,0.38,0.438;0.382,48.578
186.wav,extreme,snr,1,1,2,Clean clip1.wav,grenade.wav,static.wav;wind.wav,,-1.86,-2.75;-2.75,35.944
187.wav,extreme,ratio,1,2,0,Clean clip3.wav,m16.wav;ar.wav,,0.675,0.538;0.546,,17.581
188.wav,extreme,snr,1,2,1,Clean clip2.wav,gun.wav;grenade.wav,static.wav,,2.22;2.22,-1.26,48.578
189.wav,extreme,ratio,1,2,0,Clean clip4.wav,grenade.wav;m16.wav,,0.779,0.419;0.438,,18.887
190.wav,extreme,ratio,1,1,2,Clean clip4.wav,grenade.wav,static.wav;wind.wav,0.627,0.498,0.348;0.31,18.887
191.wav,extreme,ratio,1,1,1,Clean clip2.wav,ar.wav,static.wav,0.77,0.377,0.493,48.578
192.wav,extreme,snr,1,2,0,Clean clip4.wav,m16.wav;gun.wav,,,-2.13;-2.13,,18.887
193.wav,extreme,ratio,1,1,2,Clean clip1.wav,grenade.wav,static.wav;wind.wav,0.83,0.434,0.468;0.487,35.944
194.wav,extreme,ratio,1,2,1,Clean clip4.wav,grenade.wav;gun.wav,wind.wav,0.742,0.371;0.547,0.357,18.887
195.wav,extreme,ratio,1,2,0,Clean clip2.wav,gun.wav;ar.wav,,0.783,0.48;0.494,,48.578
196.wav,extreme,snr,1,2,2,Clean clip3.wav,grenade.wav;ar.wav,wind.wav;static.wav,,0.15;0.15,-3.87;-3.87,17.581
197.wav,extreme,ratio,1,1,1,Clean clip2.wav,m16.wav,wind.wav,0.696,0.439,0.353,48.578
198.wav,extreme,snr,1,1,2,Clean clip3.wav,gun.wav,static.wav;wind.wav,,-0.35,-2.92;-2.92,17.581
199.wav,extreme,ratio,1,2,0,Clean clip1.wav,gun.wav;m16.wav,,0.633,0.381;0.5,,35.944
200.wav,extreme,ratio,1,2,2,Clean clip4.wav,grenade.wav;ar.wav,static.wav;wind.wav,0.712,0.491;0.366,0.413;0.312,18.887
